Title,Short Name,HSN Code,Barcode,Tax,MRP,Sale Price,Opening Stock,Purchase Price,Weight,Item Category,Item Company,Sub Category,Item Company Category,Minimum Quantity,Maximum Quantity,Reorder Quantity
PARLE COCONUT CRUNCHY BISCUITS 300GM,PARLE COCONUT CRUNCH,0,8901720000000,GST @12%,30,30,0,23.81,0,BISCUITS,PARLE,<Add New>,,,,
SUNFEAST DELISHUS CHOCOLATE CHIP 100GM,SUNFEAST DELISHUS CH,0,8901730000000,GST @12%,50,50,0,39.91,0,BISCUITS,SUNFEAST,<Add New>,,,,
COLGATE TOOTH PASTE STRONG TEETH CAVITY PROTECTION 50GM,COL.T/P STRONG TEETH,0,8901310000000,GST @12%,18,18,0,14.54,0,PERSONAL CARE,COLGATE,ORAL CARE,,,,
COLGATE TOOTH BRUSH ZIG ZAG PLUS MEDIUM 1NOS,COL.T/B ZIGZAG MEDIU,0,8901310000000,GST @12%,25,25,0,16.46,0,PERSONAL CARE,COLGATE,ORAL CARE,,,,
COLGATE TOOTH BRUSH SUPER SHINE SOFT 1NOS,COL.T/B SHINE SOFT,0,8901310000000,GST @12%,20,20,0,13.16,0,PERSONAL CARE,COLGATE,ORAL CARE,,,,
TOPS PLAIN NOODLES 400GM,TOPS PLAIN NOODLES 4,1902,846597000000,GST @12%,41,41,13,30.98,402.74,"NOODLES,PASTA,VERMICELLI",TOPS,INSTANT NOODLES,,,,
CREMICA HEALTHY OATMEAL COOKIES 75GM,CREMICA HEALTHY OATM,0,8906000000000,GST @12%,20,20,0,15.82,0,BISCUITS,CREMICA,COOKIES,,,,
BISLERI WATER 500ML,BISLERI WATER 500ML,220110,8906020000000,GST @18%,10,10,0,6.99,0,DRINKS AND BEVERAGES,BISLERI,SOFT DRINKS,,,,
BISLERI WATER 1LTR,BISLERI WATER 1LTR,22011010,8906020000000,GST @18%,19,19,0,9.53,0,DRINKS AND BEVERAGES,BISLERI,SOFT DRINKS,,,,
TILSONA TIL OIL 1LTR,TILSONA TIL OIL 1LTR,1515,8902090000000,GST @5%,240,240,1,207.79,207.79,"GROCERY,DALS",TILSONA,EDIBLE OIL AND GHEE,,,,
GARNIER FRUCTIS SHAMPOO GOODBYE DAMAGE MRP OFF 340ML,GAR.FRU.SHAMPOO,0,8901530000000,GST @12%,200,200,0,158.73,0,PERSONAL CARE,GARNIER,HAIR CARE,,,,
ORGANIC NATION OREGANO 30GM,ORG.NATION OREGANO,7129050,A8906047702025A,GST @5%,80,80,6,57.14,342.84,"GROCERY,DALS",ORGANIC NATION,"MASALAS,SPICES,SEASONINGS",,,,
DABUR RATNAPRASH STRENGTH STAMINA & VIGOUR 900ML,DABUR RATNAPRASH STR,0,8901210000000,Tax 5%,580,580,0,459.48,0,HEALTH,DABUR,<Add New>,,,,
DABUR RATNAPRASH STRENGTH STAMINA & VIGOUR 450ML,DABUR RATNAPRASH STR,0,8901210000000,Tax 5%,300,300,0,250.63,0,HEALTH,DABUR,<Add New>,,,,
DABUR GULABARI LOTION ROSE GLOW 100ML,DABUR GULABARI LOTIO,0,8901210000000,GST @12%,65,65,0,52.53,0,PERSONAL CARE,DABUR,SKIN CARE,,,,
DABUR GULABARI LOTION ROSE GLOW 200ML,DABUR GULABARI LOTIO,0,8901210000000,GST @12%,130,130,0,105.05,0,PERSONAL CARE,DABUR,SKIN CARE,,,,
DABUR GULABARI LOTION ROSE GLOW 350ML,DABUR GULABARI LOTIO,0,8901210000000,GST @12%,185,185,0,149.5,0,PERSONAL CARE,DABUR,SKIN CARE,,,,
PARK AVENUE SOAP COOL BLUE 4X125GM,PARK AVENUE SOAP COO,0,8901280000000,GST @18%,135,135,0,109.09,0,PERSONAL CARE,PARK AVENUE,SKIN CARE,,,,
PARK AVENUE SOAP LUXURY BUY 3 GET 1 FREE 3X125GM,PAR.AV.LUXURY SOAP,0,13989,GST @12%,120,120,0,97,0,PERSONAL CARE,PARK AVENUE,SKIN CARE,,,,
PARK AVENUE DEO AFTER 8 EAU DE PARFUM 50ML,PARK AVENUE DEO AFTE,0,8901280000000,GST @12%,199,199,0,78.97,0,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
PARK AVENUE DEO ORIGINAL EAU DE PARFUM 50ML,PARK AVENUE DEO ORIG,0,8901280000000,GST @12%,199,199,0,78.97,0,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
BORO PLUS TOTAL RESULTS MOISTURE LOTION GRAPE & OLIVE  OIL 100ML,BORO.P.TOTAL MOIS.GR,30049011,8901250000000,GST @12%,70,70,0,50.99,0,PERSONAL CARE,BORO PLUS,SKIN CARE,,,,
BORO PLUS COCOA SOFT MOISTURISING LOTION 100ML,BORO PLUS COCOA SOFT,30049011,8901250000000,GST @12%,100,100,0,75.19,0,PERSONAL CARE,BORO PLUS,SKIN CARE,,,,
CREMICA MAGICREAM CHOCOLATE FLAVOURED SANDWICH BISCUIT 90GM,CRE.MAGIC.CHOCOLATE ,3100,8906000000000,GST @18%,10,10,1,7.45,7.45,BISCUITS,CREMICA,CREAM BISCUITS,,,,
CREMICA MAGICREAM ELACHI BISCUIT 100GM,CRE.MAGIC.ELACHI CRE,3100,8906000000000,GST @18%,10,10,2,7.45,14.9,BISCUITS,CREMICA,CREAM BISCUITS,,,,
AASHIRVAAD READY MEALS PAV BHAJI 285GM,AASH.PAV BHAJI,0,8901730000000,GST @12%,75,75,0,57.97,0,READY TO EAT,AASHIRVAAD,RICE AND RICE PRODUCTS,,,,
